Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Iron Man","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/106068137/iron-man,3.4,-1,Boulder,V3,1,18,33.5947,-117.87816
"B1 Traverse","B1 Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/108105393/b1-traverse,3.1,-1,Boulder,V4,1,,34.3406,-118.01595
"Kodas' Corner","Canyon Boulders > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105961204/kodas-corner,3.9,-1,Boulder,V3,1,20,34.27152,-118.60341
"Pan Cake","Canyon Boulders > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106879596/pan-cake,2.7,-1,Boulder,V2-3,1,,34.27152,-118.60341
"Johnson Arete","Split Rock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106108267/johnson-arete,3.1,-1,Boulder,V4,1,,34.27052,-118.60285
"West Arete","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105966608/west-arete,2.1,-1,Boulder,"5.6 V-easy",1,20,34.2698,-118.6056
"Maggie's Traverse","Nabisco Canyon > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105894028/maggies-traverse,3.3,-1,Boulder,V1,1,100,34.27145,-118.60406
"South East Corner (The Corner)","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106071557/south-east-corner-the-corner,2.5,-1,Boulder,V2,1,,34.2698,-118.6056
"Yabo Roof","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105873655/yabo-roof,3.7,-1,Boulder,V2+,1,25,34.2692,-118.6037
"Mozart's Wall Traverse","Mozart's Wall > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105969910/mozarts-wall-traverse,2.8,-1,Boulder,V0,1,40,34.27129,-118.60359
Pliers,"Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105966598/pliers,2.9,-1,Boulder,V2,1,,34.2692,-118.6037
"Last Dance","Corpse Wall > Saddle Peak > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/107560441/last-dance,2.5,-1,"Sport, Boulder","5.10c/d V2",1,50,34.07931,-118.65874
Vivarin,"Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/107006523/vivarin,2.4,-1,Boulder,V-easy,1,25,34.2698,-118.6056
"The Corner","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106325676/the-corner,3.2,-1,Boulder,V2,1,20,34.2692,-118.6037
"Pile Driver","Pile Ups > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105921615/pile-driver,2.1,-1,Boulder,"5.11 V3",1,10,34.26915,-118.60472
Mantlelobotomy,"Canyon Boulders > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106772947/mantlelobotomy,2.7,-1,Boulder,V1+,1,15,34.27152,-118.60341
"Spiral Direct","Spiral Boulder > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105955315/spiral-direct,2.5,-1,Boulder,V0+,1,20,34.27029,-118.60303
"Diamond Man","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/106755903/diamond-man,3.7,-1,Boulder,V4,1,25,33.5947,-117.87816
"North Flake","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106341751/north-flake,2.4,-1,Boulder,V-easy,1,20,34.2692,-118.6037
"Crystal Ball Mantel","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106088458/crystal-ball-mantel,3.8,-1,Boulder,V4-5,1,23,34.2692,-118.6037
"Hog Tied","B1 Boulder > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105982689/hog-tied,2.8,-1,Boulder,"V1 R",1,20,34.2692,-118.6036
"Italian Fall","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/106769050/italian-fall,2.6,-1,"Trad, Boulder",V3,1,,33.5947,-117.87816
"Sculpture's Crack Traverse","Sculpture's Crack Wall > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105967882/sculptures-crack-traverse,3.5,-1,Boulder,V3,1,,34.27146,-118.60379
10-40,"Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105927347/10-40,2.2,-1,Boulder,V1,1,15,34.2698,-118.6056
"Tin Man","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/105924050/tin-man,2.5,-1,Boulder,V0+,1,15,33.5947,-117.87816
"The Flake","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106024378/the-flake,2.6,-1,"TR, Boulder","5.8 V0",1,,34.2692,-118.6037
"Islands In The Stream","Island Boulder > Malibu Lieback Area > Malibu Tunnel Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/118162104/islands-in-the-stream,3.9,-1,"TR, Boulder","5.11+ V3-4 R",1,20,34.07411,-118.70413
"Chouinard's Slab","Spiral Boulder > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/107071460/chouinards-slab,2.2,-1,Boulder,V-easy,1,15,34.27029,-118.60303
"Untold Story","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106024366/untold-story,2.4,-1,"TR, Boulder","5.8 V0",1,,34.2692,-118.6037
"North Face","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106778641/north-face,2.6,-1,Boulder,V0-,1,20,34.2692,-118.6037
"The Phoenix","Mt. Gorgeous > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/116489968/the-phoenix,2.8,-1,"Sport, Boulder","5.12b V4",1,50,34.09567,-118.72976
"Potholes Traverse","Back Wall > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105967871/potholes-traverse,3.0,-1,Boulder,V1,1,50,34.27101,-118.60312
"The X Problem","The X Boulder > Malibu Lieback Area > Malibu Tunnel Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/112919993/the-x-problem,3.8,-1,Boulder,"V3 R",1,12,34.07423,-118.704
"Standard Route","Eat Out More Often (aka Power Glide) > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106061755/standard-route,2.5,-1,Boulder,V2,1,25,34.27057,-118.60278
"Y Crack","Y - Crack Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/106571456/y-crack,3.0,-1,"TR, Boulder",V0,1,25,34.34141,-118.01597
"Onion Man","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/106755723/onion-man,2.5,-1,Boulder,V1,1,20,33.5947,-117.87816
Scorpion,"Canyon Boulders > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106675497/scorpion,2.6,-1,Boulder,V2,1,15,34.27152,-118.60341
Quickstep,"Mozart's Wall > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105970076/quickstep,3.0,-1,Boulder,V2,1,15,34.27129,-118.60359
"Endo Boy","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/107006506/endo-boy,3.0,-1,Boulder,V3,1,20,34.2698,-118.6056
"The Wave","Blank Generation Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/110514456/the-wave,3.0,-1,Boulder,"V1 X",1,,34.34141,-118.01597
"Short Story","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106909774/short-story,2.6,-1,Boulder,"5.7 V-easy PG13",1,20,34.2698,-118.6056
"Test Tube","The X Boulder > Malibu Lieback Area > Malibu Tunnel Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/113102868/test-tube,3.4,-1,Boulder,"V-easy X",1,12,34.07423,-118.704
"Nose Eliminate","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105968175/nose-eliminate,2.4,-1,Boulder,V0,1,20,34.2698,-118.6056
"Sink or Swim (AKA Crank Session or Swim Lessons)","Sink or Swim Boulder > The Ghetto Wall Boulders > Malibu Creek State Park Bouldering > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/113067381/sink-or-swim-aka-crank-session-or-swim-lessons,4.0,-1,Boulder,V2,1,20,34.0952,-118.73141
"Boulder 1 Traverse","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106154403/boulder-1-traverse,3.0,-1,Boulder,V3,1,,34.2698,-118.6056
"Better Bold than Old","Arbor day boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/111804344/better-bold-than-old,3.4,-1,Boulder,V1-2,1,19,34.34043,-118.01569
Arete-Me_Not,"Chouinard's Hole > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/118237212/arete-me-not,4.0,-1,Boulder,V4,1,20,34.27201,-118.60448
"The Corner","B1 Boulder > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105966591/the-corner,2.1,-1,Boulder,V0,1,,34.2692,-118.6036
"The schnoz","The Captains Boulder > Miniholland > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/118713379/the-schnoz,4.0,-1,Boulder,V-easy,1,,34.1004,-118.8439
"The stobe","The Captains Boulder > Miniholland > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/118713433/the-stobe,4.0,-1,Boulder,V0,1,,34.1004,-118.8439
"Tarantula Traverse","Gainsborough Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/108205415/tarantula-traverse,3.5,-1,Boulder,V3+,1,30,34.1954,-118.8859
"Feel the Rush","Hypodermic Area > Lower Boulders > Malibu Tunnel Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/112930901/feel-the-rush,4.0,-1,Boulder,"V2 PG13",1,25,34.07268,-118.70522
"The Hinge","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/106721679/the-hinge,2.4,-1,Boulder,"5.9+ V0",1,20,33.5947,-117.87816
"Rufio (aka: Scrubbed Thin)","Upper Stream Boulder > Arroyo Seco Boulders > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/109996596/rufio-aka-scrubbed-thin,3.7,-1,Boulder,V3,1,10,34.21305,-118.16018
"Barndoor Arete","X4 Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/108150538/barndoor-arete,3.0,-1,Boulder,V2,1,20,34.34098,-118.01648
"Does The Size of My Chalk Bag Matter?","Boulder 2 > Miniholland > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/117870617/does-the-size-of-my-chalk-bag-matter,3.8,-1,Boulder,V2,1,20,34.10186,-118.84602
"Wolf's Den Wave","Treasure Island > Laguna Beach > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/119467055/wolfs-den-wave,4.0,-1,Boulder,V2,1,6,33.51432,-117.7591
"Scrambled Eggs","Canyon Boulders > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106412491/scrambled-eggs,3.1,-1,Boulder,V3+,1,20,34.27152,-118.60341
"Adam SANDler","The Sandbox > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/121768279/adam-sandler,4.0,-1,Boulder,V4,1,10,34.05973,-118.93274
Heelnasium,"Steve's Suggestion > El Cariso > Santa Ana Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/107964677/heelnasium,4.0,-1,Boulder,V4-5,1,,33.64701,-117.44202
"Pile Ups Lip Traverse","Pile Ups > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105921610/pile-ups-lip-traverse,2.4,-1,Boulder,V2+,1,,34.26915,-118.60472
"Sex on the Beach","Conglomerate Boulders (Templin boulders) - misc problems > Conglomerate Boulders (Templin boulders) > Piru Creek > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/113641099/sex-on-the-beach,4.0,-1,Boulder,V3+,1,9,34.61078,-118.7499
"Ecto the Collector","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/114547935/ecto-the-collector,3.6,-1,Boulder,V4,1,20,33.5947,-117.87816
"Bear Hug","New Inhabitants > Old LA Zoo > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/122551756/bear-hug,4.0,-1,Boulder,V3,1,15,34.13374,-118.28894
"Pin Scar Direct","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/106762611/pin-scar-direct,2.7,-1,Boulder,V2-3,1,15,33.5947,-117.87816
"The Bulge","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/112914431/the-bulge,2.7,-1,Boulder,V1,1,15,34.2692,-118.6037
"The Jam Crack","Jam Rock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105982698/the-jam-crack,2.6,-1,Boulder,V-easy,1,15,34.27002,-118.60556
"The Apparatus","Island Boulder > Malibu Lieback Area > Malibu Tunnel Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/118162161/the-apparatus,3.8,-1,Boulder,"V1+ R",1,30,34.07411,-118.70413
"Not Even Chips (and reverse)","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/107599894/not-even-chips-and-reverse,2.6,-1,Boulder,"V3- PG13",1,20,33.5947,-117.87816
"Boot Flake Direct Dyno","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/107137749/boot-flake-direct-dyno,3.4,-1,Boulder,V2+,1,10,34.2698,-118.6056
"Nylon Boy","Boulder 1 > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105971438/nylon-boy,2.6,-1,Boulder,V1,1,15,34.2698,-118.6056
"Hedge Clipper (aka Spooky)","Canyon Boulders > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105962479/hedge-clipper-aka-spooky,2.8,-1,Boulder,"V1 R",1,,34.27152,-118.60341
"Diablo Overhang","El Diablo Boulder > Malibu Lieback Area > Malibu Tunnel Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/120902950/diablo-overhang,3.6,-1,Boulder,V4,1,15,34.07418,-118.70394
"Right Edge","Mozart's Wall > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106109506/right-edge,1.9,-1,"TR, Boulder","5.5 V-easy",1,45,34.27129,-118.60359
"Unnamed V1","Peanut Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/108406715/unnamed-v1,2.5,-1,Boulder,V1,1,15,34.33979,-118.01607
"A Wolf in Sheep's Clothing","Corpse Wall > Saddle Peak > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/114205460/a-wolf-in-sheeps-clothing,2.7,-1,"Sport, Boulder","5.10b/c V1-2",1,45,34.07931,-118.65874
"Center Face","Boulder 3 > Garden of the Gods > Chatsworth Area > Los Angeles Basin > California",https://www.mountainproject.com/route/120083715/center-face,3.7,-1,Boulder,V1,1,8,34.27314,-118.6127
Overlord,"Malibu Lieback Boulder > Malibu Lieback Area > Malibu Tunnel Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/112961538/overlord,3.7,-1,Boulder,V4-5,1,,34.07438,-118.70406
"Shoot The J","Gainsborough Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/113376902/shoot-the-j,3.7,-1,Boulder,"V3 PG13",1,15,34.1954,-118.8859
"The Prow","Malibu Lieback Boulder > Malibu Lieback Area > Malibu Tunnel Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/112931709/the-prow,3.4,-1,Boulder,V3,1,18,34.07438,-118.70406
"Vaino Problem","Split Rock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106091512/vaino-problem,2.5,-1,Boulder,V4,1,,34.27052,-118.60285
"Malibu Lieback","Malibu Lieback Boulder > Malibu Lieback Area > Malibu Tunnel Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/112931678/malibu-lieback,3.2,-1,Boulder,"V0 R",1,25,34.07438,-118.70406
"Mommies Right","Mommys Boys > Summit Boulders > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105884452/mommies-right,2.9,-1,"TR, Boulder","5.8 V0",1,20,34.2707,-118.6042
"Muscle Beach","Zodiac Boulder > Purple Stones North > Purple Stones > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/112930824/muscle-beach,3.5,-1,Boulder,"V1 R",1,16,34.07673,-118.5914
"Lode Stone","Zodiac Boulder > Purple Stones North > Purple Stones > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/112930808/lode-stone,3.5,-1,Boulder,"V4 PG13",1,20,34.07673,-118.5914
"Sticks and Stones","KinderCare Boulders > Santa Ana Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/111469812/sticks-and-stones,3.5,-1,Boulder,V3,1,10,33.63796,-117.41618
"Chips Ahoy","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/108582558/chips-ahoy,2.9,-1,Boulder,V4-5,1,15,33.5947,-117.87816
"The Freezer","The Refrigerator > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/108578670/the-freezer,2.9,-1,Boulder,V3-,1,12,34.34053,-118.01664
"Shark's Tooth","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/106769056/sharks-tooth,3.1,-1,"Trad, Boulder",V4,1,20,33.5947,-117.87816
"Potholes (Left Start)","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/108014518/potholes-left-start,2.4,-1,"TR, Boulder","5.9 V0",1,20,34.2692,-118.6037
Tinkerbell,"Upper Stream Boulder > Arroyo Seco Boulders > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/109996606/tinkerbell,3.1,-1,Boulder,V3,1,10,34.21305,-118.16018
Oasis,"Oasis Boulder > Malibu Lieback Area > Malibu Tunnel Boulders > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/112961409/oasis,2.9,-1,Boulder,V3,1,,34.07443,-118.70397
Untitled,"B1 Boulder > Main Area > Horse Flats > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/105998253/untitled,2.0,-1,Boulder,V0,1,20,34.3406,-118.01595
"Maple Canyon Arete","The Headwaters > Purple Stones > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/112932687/maple-canyon-arete,3.0,-1,Boulder,V2-3,1,10,34.07777,-118.59257
"Eye Sockets","Boulder 1 > Miniholland > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/112919969/eye-sockets,3.3,-1,Boulder,V1,1,12,34.102,-118.8457
"Heel Huckin","Heel Huckin' Boulder > Conglomerate Boulders (Templin boulders) > Piru Creek > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/113648518/heel-huckin,3.4,-1,Boulder,V3,1,8,34.61019,-118.75234
"Juju’s Arete","Middle San Juan Boulders > Santa Ana Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/119363649/jujus-arete,3.5,-1,Boulder,V4,1,14,33.60677,-117.44584
"Batmantle (AKA Wrestle with Bane)","Batman Boulder > Trabuco Creek > Santa Ana Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/114506368/batmantle-aka-wrestle-with-bane,3.5,-1,Boulder,V4,1,6,33.67322,-117.54857
"Batshit (AKA Guano)","Batman Boulder > Trabuco Creek > Santa Ana Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/114506401/batshit-aka-guano,3.5,-1,Boulder,V4,1,11,33.67322,-117.54857
"The claw","The Captains Boulder > Miniholland > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/118713416/the-claw,3.5,-1,Boulder,V1+,1,,34.1004,-118.8439
"Moose Knuckle","El Chorizo > Aid Hill > El Cariso > Santa Ana Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/111525558/moose-knuckle,3.5,-1,Boulder,V4,1,10,33.63943,-117.44237
Belida,"KinderCare Boulders > Santa Ana Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/110014567/belida,3.5,-1,Boulder,V4,1,16,33.63796,-117.41618
"Niagara Fist","Niagara Fist Boulder > Stumbling Blocks Area > Malibu Creek State Park Bouldering > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/113066688/niagara-fist,3.5,-1,Boulder,"V1 R",1,18,34.09587,-118.73051
"The Rollercoaster","Carousel Rock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/105967878/the-rollercoaster,3.5,-1,Boulder,"V2 R",1,30,34.27194,-118.60359
"Crystal Clear","Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/106755557/crystal-clear,2.3,-1,Boulder,V2,1,20,33.5947,-117.87816
Illuminati,"The Headwaters > Purple Stones > *Santa Monica Mountains Bouldering > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/118976331/illuminati,2.8,-1,Boulder,V1,1,10,34.07777,-118.59257
"Two Scoops","B1 Boulder > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/113108988/two-scoops,2.6,-1,Boulder,V2,1,14,34.2692,-118.6036
"Potholes (Right Start)","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/108014506/potholes-right-start,2.6,-1,"TR, Boulder","5.7 V-easy",1,20,34.2692,-118.6037
"Slant Lip Traverse","Slant Rock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/114604654/slant-lip-traverse,2.4,-1,Boulder,V0+,1,,34.2696,-118.6055
Lieback,"Pirate's Cove (aka The Beach or Corona Del Mar) > Corona Del Mar > Beaches > Los Angeles Basin > California",https://www.mountainproject.com/route/106755733/lieback,1.9,-1,Boulder,"5.7 V-easy",1,20,33.5947,-117.87816
"Turlock Face","Turlock > Stoney Point > Los Angeles Basin > California",https://www.mountainproject.com/route/106024372/turlock-face,2.2,-1,"TR, Boulder","5.9 V0",1,,34.2692,-118.6037
