Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Around the Horn","The Non Eggs > The Eggs > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106508102/around-the-horn,2.8,-1,Boulder,V1,1,10,39.62888,-105.34419
"Beached Whale","Eliminator Boulder > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105752758/beached-whale,2.7,-1,Boulder,V2+,1,,40.566,-105.1556
"Rite of the Devil","Warm-up Traverse Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/111023986/rite-of-the-devil,2.8,-1,Boulder,V4,1,15,39.65102,-105.1866
"Upper Wisdom","The Black Hole > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106035963/upper-wisdom,3.1,-1,Boulder,V3+,1,25,39.65276,-105.18641
"Fountain Lip Traverse","Fountain Lip Boulder > Fountainbleau Area > Bouldering problems > Castlewood Canyon SP > Denver South > Denver Metropolitan Area Bouldering and Buildering > Colorado",https://www.mountainproject.com/route/107006808/fountain-lip-traverse,3.4,-1,Boulder,V3-4,1,20,39.35396,-104.76876
"Marry Ann","Gilligan's Island > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106438916/marry-ann,2.7,-1,Boulder,V1,1,12,39.62586,-105.35929
"That Flakes It","That Flakes It Overhang > The Dark Side > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105753424/that-flakes-it,2.7,-1,Boulder,V4,1,,40.00311,-105.29459
"Beach Crack","Kahuna Boulder > Carter Lake > Fort Collins > Colorado",https://www.mountainproject.com/route/105754084/beach-crack,3.0,-1,Boulder,V3,1,,40.32211,-105.21435
"Bearded Lady (aka Hand Crack)","Squirming Coil Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106454945/bearded-lady-aka-hand-crack,2.6,-1,Boulder,V2-,1,10,39.65122,-105.18622
"Low Traverse","The Non Eggs > The Eggs > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106512416/low-traverse,2.6,-1,Boulder,V4,1,30,39.62888,-105.34419
"Finger Ripper","Central Ridgeline, including Ship's Prow > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105751228/finger-ripper,2.6,-1,Boulder,V3,1,,40.5662,-105.1555
"Classic Line","Tree Slab > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/106090438/classic-line,2.6,-1,Boulder,"V0 PG13",1,20,40.00095,-105.2971
"Wisdom A.K.A. The Best Boulder Problem In Evergreen","The Brother's Lookout South Face > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106439214/wisdom-aka-the-best-boulder-problem-in-evergreen,4.0,-1,Boulder,"V4 PG13",1,25,39.62589,-105.3487
"The Troll Cave","Work and Play Area > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106733949/the-troll-cave,3.3,-1,Boulder,V3,1,15,39.63018,-105.34755
"Curving Crack","Central Ridgeline, including Ship's Prow > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105751231/curving-crack,2.6,-1,Boulder,V0-,1,,40.5662,-105.1555
"Rocket Ship","Fountain Lip Boulder > Fountainbleau Area > Bouldering problems > Castlewood Canyon SP > Denver South > Denver Metropolitan Area Bouldering and Buildering > Colorado",https://www.mountainproject.com/route/105748744/rocket-ship,2.6,-1,Boulder,V1+,1,,39.35396,-104.76876
"Center or Regular Problem aka Fire and Ice Simulator","Tree Slab > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/105755119/center-or-regular-problem-aka-fire-and-ice-simulator,2.6,-1,Boulder,V1,1,,39.65322,-105.18697
"Ship's Prow","Central Ridgeline, including Ship's Prow > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105751222/ships-prow,2.5,-1,Boulder,V0+,1,,40.5662,-105.1555
"Penny Lunge","Pitch Penny Boulder > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105751267/penny-lunge,2.5,-1,Boulder,V0+,1,,40.5671,-105.15625
"Slab Traverse","Tree Slab > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105758380/slab-traverse,2.5,-1,Boulder,V1,1,10,40.00095,-105.2971
"South Face","Nook's Rock > The Dark Side > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105753427/south-face,2.7,-1,Boulder,V0,1,,40.00349,-105.29513
Jaws,"Jaws Boulder > Independence Pass > Colorado",https://www.mountainproject.com/route/105755479/jaws,3.8,-1,Boulder,V3,1,,39.11958,-106.72196
"Northeast Corner","The Gill Boulder > Eldorado Canyon Bouldering > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105992464/northeast-corner,2.5,-1,Boulder,V0,1,,39.93105,-105.29186
"Overhanging Hand Traverse","The Flagstaff Amphitheatre > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105764724/overhanging-hand-traverse,3.6,-1,Boulder,V1,1,20,40.00287,-105.29697
"Alcove East Overhang","Cloud Shadow > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/106842601/alcove-east-overhang,3.0,-1,Boulder,V3,1,,40.00272,-105.29477
"Unknown -Warm up (The Jake)","Squirming Coil Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/108248961/unknown-warm-up-the-jake,2.4,-1,Boulder,"V1 PG13",1,10,39.65122,-105.18622
Timeline,"Bierstadt Area > Area A > Mt. Evans Bouldering > Mt. Evans > Alpine Rock > Colorado",https://www.mountainproject.com/route/106497753/timeline,3.6,-1,"Boulder, Alpine","V1 R",1,25,39.6326,-105.6211
"Part of A Warmup Traverse","Warm-up Traverse Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106042568/part-of-a-warmup-traverse,2.4,-1,Boulder,V1+,1,,39.65102,-105.1866
"Far Right SDS","Main Warm-Ups > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113386879/far-right-sds,2.6,-1,"Boulder, Alpine",V2,1,12,39.63555,-105.70926
"Far Right Arete","Warm-Up Block Three > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113384362/far-right-arete,2.4,-1,"Boulder, Alpine",V1,1,10,39.63356,-105.70929
"Major Tom","BBC Boulder > Satellite Boulders > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105757477/major-tom,2.4,-1,Boulder,V3-,1,,39.98899,-105.29117
"Super Phun Thyme","The Cube Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/114171135/super-phun-thyme,3.3,-1,Boulder,V3,1,8,39.65112,-105.18653
V0,"Trailside Egg > The Eggs > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106284745/v0,2.5,-1,Boulder,V0+,1,,39.62964,-105.34446
"Shorty Arete","Warm-Up Block One > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113383492/shorty-arete,2.4,-1,"Boulder, Alpine",V1,1,,39.63402,-105.70955
"Sputnik Two","Sputnik Boulder > Satellite Boulders > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105757159/sputnik-two,2.3,-1,Boulder,V0,1,,39.98948,-105.29028
"Flightless Pigeons","The Non Eggs > The Eggs > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106508079/flightless-pigeons,2.3,-1,Boulder,V1,1,10,39.62888,-105.34419
"Gypsy Devil","Warm-up Traverse Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106960102/gypsy-devil,2.3,-1,Boulder,V1,1,10,39.65102,-105.1866
"Meditation Roof","Meditation Boulder > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/106051542/meditation-roof,2.3,-1,Boulder,V1+,1,,40.5661,-105.156
"Warm-Up Arete","Warm-Up Block Two > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113383635/warm-up-arete,2.3,-1,"Boulder, Alpine",V1,1,8,39.63364,-105.70949
"The Wave","The Wave Boulder > South Side Area > Ute Valley Park > Colorado Springs > Colorado",https://www.mountainproject.com/route/105792465/the-wave,2.4,-1,Boulder,V2,1,,38.91176,-104.85688
"Ship's Prow Right","Central Ridgeline, including Ship's Prow > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105751225/ships-prow-right,2.3,-1,Boulder,V1+,1,,40.5662,-105.1555
"Done Deal Dyno","The Cube Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/105755116/done-deal-dyno,2.2,-1,Boulder,V3,1,,39.65112,-105.18653
"Corner Lunge","Eliminator Boulder > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/106051553/corner-lunge,2.2,-1,Boulder,V1,1,,40.566,-105.1556
"Where is My Gummy Bear? (what my daughter called it)","The Cube Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/114176490/where-is-my-gummy-bear-what-my-daughter-called-it,3.0,-1,Boulder,V3,1,7,39.65112,-105.18653
Tofurkey,"Tofurkey Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/111016579/tofurkey,3.0,-1,Boulder,V1,1,15,39.65105,-105.18665
Bootie,"Piano Ridge > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105756364/bootie,2.7,-1,Boulder,"5.8+ V1",1,,40.53517,-105.14181
"Cat's Eye Face","South Ridgeline, including Cat's Eye Face & Bolt Wall > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105756880/cats-eye-face,3.2,-1,"TR, Boulder","V3 R",1,30,40.56575,-105.1553
"Warm Up","Emerald Lake > Tyndall Gorge > RMNP Bouldering Areas > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/107651058/warm-up,2.2,-1,"Boulder, Alpine",V1,1,7,40.30939,-105.66479
"Deal Jams","The Cube Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/105999196/deal-jams,2.1,-1,Boulder,V1+,1,10,39.65112,-105.18653
"King Conqueror","King Conquerer > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105760857/king-conqueror,3.6,-1,Boulder,"5.11d V3 R",1,20,40.004,-105.29786
"Pocket Change","Pocket Change Boulder > Pocket Change Area > Sailing Hawks > Durango > Colorado",https://www.mountainproject.com/route/106510250/pocket-change,3.4,-1,Boulder,V4,1,12,37.31462,-107.88626
"The Scoop","The Scoop Area > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105759855/the-scoop,3.8,-1,Boulder,V3+,1,20,40.5778,-105.1589
"The Buddha Belly","The Freight Train Boulder > Eldorado Canyon Bouldering > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/107112182/the-buddha-belly,3.6,-1,Boulder,V3,1,,39.92511,-105.33782
"South Face","Beer Barrel Boulder > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/106090431/south-face,2.0,-1,Boulder,V0,1,12,40.00111,-105.29705
"Aspen Arete","Aspen Boulder > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113383319/aspen-arete,3.1,-1,"Boulder, Alpine",V4,1,12,39.63431,-105.71078
"Chalk Block Left","Warm-Up Block Two > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113383678/chalk-block-left,2.5,-1,"Boulder, Alpine",V4,1,,39.63364,-105.70949
"Skunk Rub","Skunk Rub Boulder > Carter Lake > Fort Collins > Colorado",https://www.mountainproject.com/route/106055181/skunk-rub,3.2,-1,Boulder,V4-5,1,12,40.32093,-105.21397
"That Flakes It Arete","That Flakes It Overhang > The Dark Side > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/108275877/that-flakes-it-arete,2.2,-1,Boulder,V1,1,13,40.00311,-105.29459
"The Plank","Pirate's Cove > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106444231/the-plank,2.3,-1,Boulder,V2,1,8,39.6267,-105.3587
"Roof Crack","Piano Ridge > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105756115/roof-crack,2.4,-1,Boulder,V0,1,,40.53517,-105.14181
"Center Route","Lower Fin > Mount Sanitas > Boulder > Colorado",https://www.mountainproject.com/route/105757858/center-route,2.7,-1,Boulder,V0,1,,40.02263,-105.2984
Vai,"G3 > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/106194399/vai,2.5,-1,"Sport, Boulder","5.11c V4+",1,80,39.71222,-107.69193
"The Nipple Wall","Nipple Wall > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105755962/the-nipple-wall,3.6,-1,Boulder,"V3 R",1,,40.56769,-105.15671
"Far Left","Main Warm-Ups > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113386836/far-left,2.5,-1,"Boulder, Alpine",V4,1,12,39.63555,-105.70926
"Eastern Priest","River Block > Eldorado Canyon Bouldering > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/111106740/eastern-priest,3.9,-1,Boulder,"V4 R",1,,39.92981,-105.2881
"Petrified Arete","Petrified Boulder > Petrified Area > Sailing Hawks > Durango > Colorado",https://www.mountainproject.com/route/106393974/petrified-arete,2.9,-1,Boulder,V3,1,25,37.31088,-107.8842
"Meditation Traverse","Meditation Boulder > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105751237/meditation-traverse,2.8,-1,Boulder,V3,1,,40.5661,-105.156
"Bloody Thumbs","The Non Eggs > The Eggs > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106733714/bloody-thumbs,2.6,-1,Boulder,V4,1,12,39.62888,-105.34419
"South Line","Scenic Rock > Carter Lake > Fort Collins > Colorado",https://www.mountainproject.com/route/105756283/south-line,2.9,-1,Boulder,V4,1,,40.31731,-105.21261
"Beginner's Luck","Emerald Lake > Tyndall Gorge > RMNP Bouldering Areas > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/109453583/beginners-luck,3.0,-1,"Boulder, Alpine",V2,1,,40.30939,-105.66479
"The Acro-Ace","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106527391/the-acro-ace,2.9,-1,Boulder,"V4 PG13",1,18,39.9787,-105.4551
"Knife Wrench!","Scrubs Boulder > Rock Garden Boulder Area > Nine Mile Bouldering > Nine Mile Hill > Unaweep Canyon > Grand Junction Area > Colorado",https://www.mountainproject.com/route/107165410/knife-wrench,3.9,-1,Boulder,V4,1,13,38.94128,-108.48438
"Pratt's Mantel","Pratt's Rock aka Pratt's Overhang > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/106035916/pratts-mantel,2.9,-1,Boulder,V2+,1,10,40.00107,-105.29658
"South Warmup","BBC Boulder > Satellite Boulders > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105757876/south-warmup,1.9,-1,Boulder,V0,1,,39.98899,-105.29117
"Pratt's Overhang","Pratt's Rock aka Pratt's Overhang > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/107017797/pratts-overhang,3.0,-1,Boulder,V3,1,10,40.00107,-105.29658
"Middle Warm up","The Potato Chip Boulder > Lower Chaos Canyon > Chaos Canyon Bouldering > RMNP Bouldering Areas > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/106519129/middle-warm-up,2.1,-1,"Boulder, Alpine",V1,1,12,40.30493,-105.65957
"Warm-Up Boulder","Emerald Lake > Tyndall Gorge > RMNP Bouldering Areas > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/109453626/warm-up-boulder,2.7,-1,"Boulder, Alpine",V1,1,,40.30939,-105.66479
"Dharma Bums","Thug Roof > Wild Basin (bouldering) > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/117362024/dharma-bums,3.6,-1,Boulder,V4+,1,,40.21205,-105.55425
"Sputnik Left","Sputnik Boulder > Satellite Boulders > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105757153/sputnik-left,1.6,-1,Boulder,V1,1,,39.98948,-105.29028
Hamburger,"The Lion's Den > Lyons > Colorado",https://www.mountainproject.com/route/106658412/hamburger,2.9,-1,Boulder,V4+,1,12,40.22683,-105.34736
"Up Staged","Fountainebleau Boulder > Fountainbleau Area > Bouldering problems > Castlewood Canyon SP > Denver South > Denver Metropolitan Area Bouldering and Buildering > Colorado",https://www.mountainproject.com/route/105749875/up-staged,2.5,-1,Boulder,V2,1,,39.35388,-104.76889
"Right Slab","Warm-Up Block Three > 7 Mile Boulders > Guanella Pass > Georgetown > Colorado",https://www.mountainproject.com/route/113384351/right-slab,2.3,-1,"Boulder, Alpine",V2-,1,12,39.63356,-105.70929
"MoSo Roof","MoSo Area > The Dark Side > Morrison Boulders > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106360721/moso-roof,3.0,-1,Boulder,V3-4,1,,39.65157,-105.18609
"Spidey Grip","Spidey Block > Main Area > Dynamite Shacks > Grand Junction Area > Colorado",https://www.mountainproject.com/route/106061300/spidey-grip,2.9,-1,Boulder,V2+,1,,39.05088,-108.60643
Cornerlock,"Mental Block > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/105751552/cornerlock,3.3,-1,Boulder,V4,1,,40.5668,-105.1559
"Low Tide","Gilligan's Island > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106438938/low-tide,2.2,-1,Boulder,V1-2,1,10,39.62586,-105.35929
"Sage Truth","Royal Rock > Dave Loves Donna Boulders > Nine Mile Bouldering > Nine Mile Hill > Unaweep Canyon > Grand Junction Area > Colorado",https://www.mountainproject.com/route/108538554/sage-truth,4.0,-1,Boulder,V2,1,20,38.91687,-108.49529
"National Geographic","The Non Eggs > The Eggs > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106507953/national-geographic,2.0,-1,Boulder,V0+,1,10,39.62888,-105.34419
"Center Left","Red Wall > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105749263/center-left,3.1,-1,Boulder,V4,1,,40.00275,-105.29689
"Southeast Slab","The Gill Boulder > Eldorado Canyon Bouldering > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105992614/southeast-slab,2.2,-1,Boulder,V1,1,,39.93105,-105.29186
"Tiger Face","Mental Block > Rotary Park > Horsetooth Reservoir > Fort Collins > Colorado",https://www.mountainproject.com/route/106003096/tiger-face,2.4,-1,Boulder,V2-,1,10,40.5668,-105.1559
"The Prow","Overhanging Prow > Candel Area, The > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105762966/the-prow,3.0,-1,Boulder,V4,1,10,39.99924,-105.29458
"South Crack","The Capstan > Flagstaff > Boulder > Colorado",https://www.mountainproject.com/route/105749272/south-crack,3.0,-1,Boulder,"V3 X",1,,40.00276,-105.29548
"The Crest","Gilligan's Island > Alderfer/Three Sisters Park > Morrison/Evergreen/Littleton > Colorado",https://www.mountainproject.com/route/106444191/the-crest,2.1,-1,Boulder,V1,1,10,39.62586,-105.35929
